# generated by data/run_main_table.py 20260719T130327Z (git 9b749c0); seeds: deng_eval_sample=42
# Calibration split: 10% of segments per vehicle for the fleet datasets (BMW i3, Deng, VED); 40% per cell for CALCE and 30% per module for UMich/Ford — data-size-driven exceptions, decided before evaluation (see data/soc_baseline_benchmark_calce.py / _module.py).
# All SOC errors in percentage points; every estimator (including coulomb counting) starts from the same deliberately wrong initial SOC.
dataset,method,n_trips,rmse_full_median,rmse_full_q25,rmse_full_q75,rmse_full_mean,mae_full_median,mae_full_mean,maxerr_full_median,rmse_postconv_median,rmse_postconv_mean,n_postconv,conv_rate_strict,t_conv_strict_median_s,conv_rate_hold,t_conv_hold_median_s,conv_rate_legacy,t_conv_legacy_median_s
BMW_i3,ekf,63,17.605584782749176,13.094099976315178,19.880411060181487,17.688479691607025,16.227216818704466,17.256334217451986,20.013112037037097,2.0546557339234717,2.652812825037881,5,0.07936507936507936,903.1,0.09523809523809523,1072.05,0.14285714285714285,982.2
BMW_i3,coulomb,63,28.39471385105711,23.739383858457884,35.861914176632595,29.42043409017729,27.598255759904887,28.610656457398225,35.8,,,0,0.0,,0.0,,0.015873015873015872,1526.9
BMW_i3,ocv_lookup,63,38.42788954727097,25.65936567928454,49.99351066403957,37.753746948120366,30.414773631130853,31.348892062733306,73.4,2.1397311874829694,2.4417056440772247,25,0.3968253968253968,1287.4,0.3968253968253968,1287.4,0.7936507936507936,117.9
Deng_BAIC_EU500,ekf,2000,9.283379517088294,5.861742221040492,12.16070794231484,9.69217307590877,6.909609987647708,7.468928891654763,21.057185910788846,3.3231427280605406,3.046022839113109,1678,0.839,2642.0,0.935,1180.5,0.9095,912.0
Deng_BAIC_EU500,coulomb,2000,43.4243048071293,26.06398791884195,56.09678728326668,40.123308348851644,35.91048431157534,33.68465164681034,78.81132385440611,2.765215474225989,2.9338314316586382,70,0.035,525.5,0.086,942.5,0.9605,530.0
Deng_BAIC_EU500,ocv_lookup,2000,6.347978911877719,4.6484720553099095,7.327760567205908,6.051591944027226,5.3012011638026735,5.138286760183873,16.000000000000004,3.6499798549000886,3.4994154748080275,1495,0.7475,3731.0,0.929,370.0,0.956,10.0
VED,ekf,408,23.978649970719403,11.490505351629652,34.73550994937075,25.7104851712867,22.04081876683847,23.476525151227438,31.852891269110234,1.6729865268518915,2.012782220579001,66,0.16176470588235295,138.7,0.19852941176470587,0.0,0.375,0.0
VED,coulomb,408,20.811915828714227,6.063943476648604,22.67186182530762,16.04606797690447,20.763839400979172,15.827043230535729,22.08113620338888,1.3341616105601928,1.6174547751988282,63,0.15441176470588236,0.0,0.19117647058823528,0.0,0.3112745098039216,0.0
VED,ocv_lookup,408,11.397284306769055,7.6724909197162665,20.80412965258312,14.825227019007281,9.250358406546312,11.79176456934164,31.201316249109187,2.6968796539979953,2.4491996757023573,144,0.35294117647058826,443.6,0.36519607843137253,418.9,0.7843137254901961,29.55
CALCE_A123,ekf,26,25.293778179663093,16.05938277692277,45.12098380588877,35.18069845485191,23.445431434536268,32.80024723097754,49.1022023271905,2.6736583930378144,2.6736583930378144,2,0.07692307692307693,1470.9067311801687,0.07692307692307693,1470.9067311801687,0.4230769230769231,532.5459022722456
CALCE_A123,coulomb,26,19.889721299855303,13.63074540121304,19.98873678180686,15.663319726305382,19.88963086047361,15.522105655742248,20.021768179300548,1.386707586837508,1.8797585089081716,6,0.23076923076923078,0.0,0.23076923076923078,0.0,0.23076923076923078,0.0
CALCE_A123,ocv_lookup,26,34.679438261304156,23.924944436212318,52.97300855452059,36.81458850586005,31.296832864707667,30.935253357677887,81.68234746950438,1.9372292178345438,2.373752023527554,7,0.2692307692307692,1252.5640313123367,0.38461538461538464,710.4622726506768,0.6153846153846154,578.3416289332636
Parallel_Module,ekf,216,15.566347634336054,6.428218641060402,23.5165514055466,15.49114041642208,15.299536943616701,15.088951022515278,19.997447329992557,2.370439612944932,2.390676017875473,58,0.26851851851851855,25.0,0.28703703703703703,0.0,0.2638888888888889,0.0
Parallel_Module,coulomb,216,17.751808444485857,10.460940641413057,22.223788872983057,15.32768827243734,17.70099736947074,15.247871312985298,20.0,1.6210020416722086,1.8675366649841842,41,0.18981481481481483,0.0,0.18981481481481483,0.0,0.18981481481481483,0.0
Parallel_Module,ocv_lookup,216,16.31903716845111,9.427282002332035,28.29790907964389,21.07470182494247,14.363827525082318,19.72927203382753,25.013926654368845,2.7130976721292166,2.6765275113876332,52,0.24074074074074073,635.0,0.2638888888888889,460.0,0.16666666666666666,0.0
